,Unnamed: 0.1,Fecha, Temperatura (°C), Humedad (%),Hora
473,473,28/9/2022,31.6,42.4,28/9/2022
474,474,28/9/2022,31.6,43.3,28/9/2022
475,475,28/9/2022,31.5,43.6,28/9/2022
476,476,28/9/2022,31.5,46.4,28/9/2022
477,477,28/9/2022,31.5,41.2,28/9/2022
478,478,28/9/2022,31.4,41.9,28/9/2022
479,479,28/9/2022,31.4,41.9,28/9/2022
480,480,28/9/2022,31.5,41.5,28/9/2022
481,481,28/9/2022,31.5,39.8,28/9/2022
482,482,28/9/2022,31.5,40.6,28/9/2022
483,483,28/9/2022,31.5,39.5,28/9/2022
484,484,28/9/2022,31.6,38.7,28/9/2022
485,485,28/9/2022,31.6,39.0,28/9/2022
486,486,28/9/2022,31.6,39.5,28/9/2022
487,487,28/9/2022,31.6,39.8,28/9/2022
488,488,28/9/2022,31.5,40.1,28/9/2022
489,489,28/9/2022,31.4,40.4,28/9/2022
490,490,28/9/2022,31.4,42.0,28/9/2022
491,491,28/9/2022,31.4,46.6,28/9/2022
492,492,28/9/2022,31.2,39.9,28/9/2022
493,493,28/9/2022,31.2,39.0,28/9/2022
494,494,28/9/2022,31.2,39.5,28/9/2022
495,495,28/9/2022,31.2,39.2,28/9/2022
496,496,28/9/2022,31.2,39.0,28/9/2022
497,497,28/9/2022,31.3,39.4,28/9/2022
498,498,28/9/2022,31.3,39.5,28/9/2022
499,499,28/9/2022,31.3,39.3,28/9/2022
500,500,28/9/2022,31.3,39.4,28/9/2022
501,501,28/9/2022,31.3,39.4,28/9/2022
502,502,28/9/2022,31.3,39.4,28/9/2022
503,503,28/9/2022,31.4,39.5,28/9/2022
504,504,28/9/2022,31.3,38.5,28/9/2022
505,505,28/9/2022,31.3,38.9,28/9/2022
506,506,28/9/2022,31.3,39.2,28/9/2022
507,507,28/9/2022,31.4,39.3,28/9/2022
508,508,28/9/2022,31.4,39.4,28/9/2022
509,509,28/9/2022,31.4,39.4,28/9/2022
510,510,28/9/2022,31.3,39.3,28/9/2022
511,511,28/9/2022,31.3,39.2,28/9/2022
512,512,28/9/2022,31.2,39.5,28/9/2022
513,513,28/9/2022,31.2,39.6,28/9/2022
514,514,28/9/2022,31.2,39.5,28/9/2022
515,515,28/9/2022,31.1,39.6,28/9/2022
516,516,28/9/2022,31.1,39.9,28/9/2022
517,517,28/9/2022,31.2,39.8,28/9/2022
518,518,28/9/2022,31.1,39.8,28/9/2022
519,519,28/9/2022,31.2,39.9,28/9/2022
520,520,28/9/2022,31.3,39.8,28/9/2022
521,521,28/9/2022,31.3,39.6,28/9/2022
522,522,28/9/2022,31.3,39.5,28/9/2022
523,523,28/9/2022,31.2,39.4,28/9/2022
524,524,28/9/2022,31.2,39.5,28/9/2022
525,525,28/9/2022,31.3,39.7,28/9/2022
526,526,28/9/2022,31.2,39.6,28/9/2022
527,527,28/9/2022,31.3,39.8,28/9/2022
528,528,28/9/2022,31.3,39.8,28/9/2022
